x,f,
168.1,105.62,
169.2,105.84,
170.3,106.06,
171.4,106.28,
172.5,106.5,
173.6,106.72,
174.7,106.94,
175.8,107.16,
176.9,107.38,
178,107.6,
179.1,107.82,
180.2,108.03999999999999,
181.3,108.26,
182.4,108.48,
183.5,108.7,
184.6,108.92,
185.7,109.14,
186.8,109.36,
187.9,109.58,
189,109.8,
190.1,110.02,
191.2,110.24,
192.3,110.46000000000001,
193.4,110.68,
194.5,110.9,
195.6,111.12,
196.7,111.34,
197.8,111.56,
198.9,111.78,
200,112,
