x,f,
184.6,108.92,
185.7,109.14,
186.8,109.36,
187.9,109.58,
189,109.8,
190.1,110.02,
191.2,110.24,
192.3,110.46000000000001,
193.4,110.68,
194.5,110.9,
195.6,111.12,
196.7,111.34,
197.8,111.56,
198.9,111.78,
200,112,
